Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
100,30,100,0.200000,0.100000,Roulette,One point
,,,,Roulette sections,100,
,,,,Tournament members,2,
,,,,,,
42,6.000000,394.140015,713.964050,172.809357,60.738815,57.512783,48.535179,48.656307,79.858307,79.453568,78.439224,79.455200,33.289700,31.466616,30.344620,31.408361,<-1.405363 | 20.677412>,<-40.230995 | -24.089472>,<4.334273 | 28.670744>,<-49.386036 | -28.929365>,<155.858643 | 155.858643>,<-0.174885 | -0.174885>,<152.191711 | 152.191711>,<-0.249733 | -0.249733>,<-95.828705 | -95.828705>,<-155.785553 | -155.785553>,<-110.564804 | -110.564804>,<-142.912613 | -142.912613>
43,8.000000,388.359985,718.215332,167.305740,60.634922,58.314716,47.972237,49.567471,79.858307,79.453568,77.422508,77.414299,33.289700,30.980589,30.395624,31.408361,<-1.103754 | 21.132160>,<-41.524540 | -25.075972>,<4.965058 | 28.696970>,<-49.840012 | -29.055456>,<155.858643 | 155.858643>,<-0.174885 | -0.174885>,<152.191711 | 152.191711>,<-0.249733 | -0.249733>,<-80.485580 | -80.485580>,<-156.222214 | -156.222214>,<-89.642960 | -89.642960>,<-138.669830 | -138.669830>
44,10.000000,371.049988,709.818848,158.612259,61.315441,58.172310,49.992199,51.014835,79.858307,79.453568,79.938583,78.774437,32.790539,31.466616,30.395624,31.408361,<-1.567883 | 22.323984>,<-42.752254 | -25.833120>,<-1.653620 | 33.322617>,<-51.634457 | -30.552891>,<146.157959 | 146.157959>,<-0.174885 | -0.174885>,<152.278503 | 152.278503>,<-0.249733 | -0.249733>,<-136.838226 | -136.838226>,<-145.686661 | -145.686661>,<-151.977844 | -151.977844>,<-146.446014 | -146.446014>
45,6.000000,381.779999,719.836182,182.066818,62.573402,59.772816,47.079521,50.987991,79.858307,79.456055,79.900711,78.539482,33.289700,31.466616,30.395624,31.408361,<0.484438 | 21.604246>,<-41.723267 | -24.767523>,<2.355935 | 32.951836>,<-52.272427 | -28.993122>,<158.700439 | 158.700439>,<-0.174885 | -0.174885>,<138.866913 | 138.866913>,<-0.249733 | -0.249733>,<-121.617767 | -121.617767>,<-158.285614 | -158.285614>,<-151.977844 | -151.977844>,<-150.817169 | -150.817169>
46,7.000000,396.630005,701.752625,145.555878,64.309769,58.819420,48.511036,51.229229,79.858307,79.456055,78.255890,79.720291,33.289700,31.466616,31.135422,31.408361,<2.819225 | 18.267801>,<-40.418819 | -24.269297>,<6.700866 | 29.224043>,<-50.763058 | -27.336359>,<130.000397 | 130.000397>,<-0.174885 | -0.174885>,<136.332397 | 136.332397>,<-0.249733 | -0.249733>,<-54.285095 | -54.285095>,<-145.686661 | -145.686661>,<-47.138512 | -47.138512>,<-154.188248 | -154.188248>
47,4.000000,420.440002,722.792786,175.889236,65.385223,57.118454,48.722572,51.572437,79.858307,79.456055,78.086288,78.539482,33.289700,31.466616,31.135422,31.408361,<2.107166 | 17.072975>,<-38.772610 | -23.479731>,<4.357639 | 25.747574>,<-49.102798 | -27.368853>,<133.670441 | 133.670441>,<-0.174885 | -0.174885>,<159.350769 | 159.350769>,<-0.735428 | -0.735428>,<-58.173828 | -58.173828>,<-145.686661 | -145.686661>,<-116.494354 | -116.494354>,<-117.802544 | -117.802544>
48,5.000000,379.269989,647.778442,107.629837,65.471222,56.492680,46.987118,51.338966,79.858307,79.905746,78.086288,79.134903,39.128670,31.466616,30.642656,31.408361,<2.667443 | 19.564865>,<-39.328785 | -21.910837>,<6.303068 | 27.756020>,<-46.955025 | -29.204678>,<153.132019 | 153.132019>,<-3.766808 | -3.766808>,<136.563904 | 136.563904>,<-0.735428 | -0.735428>,<-66.587257 | -66.587257>,<-150.035400 | -150.035400>,<-48.759758 | -48.759758>,<-148.544312 | -148.544312>
49,7.000000,380.890015,730.800232,157.762894,64.650749,55.827320,46.928356,50.450909,79.858307,79.453568,79.850304,79.134903,39.128670,31.466616,31.135422,31.004066,<0.310359 | 19.392414>,<-38.768085 | -21.587673>,<0.962507 | 26.070328>,<-45.472591 | -29.975397>,<94.464584 | 94.464584>,<-3.766808 | -3.766808>,<143.069977 | 143.069977>,<-0.735428 | -0.735428>,<-132.398087 | -132.398087>,<-158.471497 | -158.471497>,<-121.583282 | -121.583282>,<-148.544312 | -148.544312>
50,8.000000,385.859985,725.557983,154.314514,63.638405,57.134750,47.118511,50.499180,79.858307,79.875015,79.061127,78.539482,32.163101,31.466616,31.135422,31.408361,<-1.868850 | 17.315376>,<-37.469288 | -21.360411>,<0.906395 | 24.917658>,<-46.048492 | -28.452021>,<110.054596 | 110.054596>,<-1.681606 | -1.681606>,<158.426575 | 158.426575>,<-0.735428 | -0.735428>,<-112.424507 | -112.424507>,<-157.138809 | -157.138809>,<-146.327454 | -146.327454>,<-154.460861 | -154.460861>
51,9.000000,394.829987,671.954041,162.317734,65.273262,55.453434,47.347813,50.510342,79.858307,79.002701,76.710800,78.539482,35.843777,31.960432,31.135422,31.408361,<1.927758 | 19.603090>,<-37.465328 | -22.128035>,<-1.512129 | 25.004227>,<-45.550587 | -26.208763>,<138.390839 | 138.390839>,<-1.948174 | -1.948174>,<135.588654 | 135.588654>,<-0.604706 | -0.604706>,<-145.483185 | -145.483185>,<-154.771591 | -154.771591>,<-132.609924 | -132.609924>,<-141.132080 | -141.132080>
52,7.000000,386.750000,762.333679,161.126678,64.497383,56.316193,47.849964,51.809498,79.858307,79.002701,76.078171,78.539482,36.511620,30.226597,31.135422,31.408361,<-0.543966 | 19.625164>,<-37.536617 | -24.527830>,<0.116182 | 27.063217>,<-43.904625 | -27.601860>,<144.985260 | 144.985260>,<-1.948174 | -1.948174>,<135.588654 | 135.588654>,<-0.604706 | -0.604706>,<-153.973679 | -153.973679>,<-135.568359 | -135.568359>,<-130.710464 | -130.710464>,<-151.727798 | -151.727798>
