Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
50,20,50,0.200000,0.075000,Tournament,Average
,,,,,,
,,,,,,
Generation,Death percentage,Average fitness,Top fitness,Min fitness,Average hip1 velocity,Average knee1 velocity,Average hip2 velocity,Average knee2 velocity,Top hip1 velocity,Top knee1 velocity,Top hip2 velocity,Top knee2 velocity,Min hip1 velocity,Min knee1 velocity,Min hip2 velocity,Min knee2 velocity,Average hip1 rotation,Average knee1 rotation,Average hip2 rotation,Average knee2 rotation,Top hip1 rotation,Top knee1 rotation,Top hip2 rotation,Top knee2 rotation,Min hip1 rotation,Min knee1 rotation,Min hip2 rotation,Min knee2 rotation
32,0.000000,135.619995,227.774307,21.378742,48.460205,41.758488,41.391068,36.253506,78.990799,76.936378,74.764671,77.593384,6.324885,0.704140,0.362934,0.325032,<-5.605427 | 38.554024>,<-59.168087 | -32.820385>,<-1.504955 | 38.901749>,<-57.760639 | -32.838486>,<147.386353 | 147.386353>,<-0.576298 | -0.576298>,<159.458893 | 159.458893>,<-1.057629 | -1.057629>,<-76.941483 | -76.941483>,<-155.250366 | -155.250366>,<-109.039268 | -109.039268>,<-144.453690 | -144.453690>
33,6.000000,130.660004,225.153076,16.324873,46.718990,44.714645,44.057281,40.981865,78.990799,78.845161,74.764671,77.593384,0.954624,3.125540,0.362934,0.325032,<-5.606517 | 38.318451>,<-57.667587 | -31.720575>,<-3.336092 | 41.932602>,<-60.070480 | -31.627676>,<147.386353 | 147.386353>,<-0.576298 | -0.576298>,<159.458893 | 159.458893>,<-1.057629 | -1.057629>,<-76.941483 | -76.941483>,<-155.250366 | -155.250366>,<-109.039268 | -109.039268>,<-144.453690 | -144.453690>
34,4.000000,130.500000,223.669907,16.790731,45.901535,44.985912,44.708107,40.921783,78.990799,78.845161,74.764671,77.593384,5.020700,2.861353,1.534321,0.325032,<-10.545432 | 32.272030>,<-56.552853 | -32.338158>,<-9.090196 | 36.893654>,<-54.081211 | -29.412180>,<67.912933 | 67.912933>,<-0.576298 | -0.576298>,<142.956573 | 142.956573>,<-1.057629 | -1.057629>,<-141.988678 | -141.988678>,<-155.250366 | -155.250366>,<-152.274078 | -152.274078>,<-137.282166 | -137.282166>
35,0.000000,132.940002,228.885269,39.541706,46.835815,43.543079,45.088524,40.092754,78.990799,77.438835,77.232704,77.593384,0.253786,4.386406,0.798540,0.325032,<-10.306877 | 33.632751>,<-52.464790 | -29.829308>,<-7.846342 | 36.157356>,<-51.858315 | -29.496235>,<110.385925 | 110.385925>,<-0.576298 | -0.576298>,<142.956573 | 142.956573>,<-1.057629 | -1.057629>,<-141.988678 | -141.988678>,<-155.250366 | -155.250366>,<-140.686935 | -140.686935>,<-137.282166 | -137.282166>
36,4.000000,124.940002,222.330582,40.934834,45.997364,42.219688,47.681984,41.468872,78.990799,78.913040,79.634842,77.593384,0.901623,1.179590,2.336285,0.325032,<-12.349107 | 35.263069>,<-55.692284 | -29.909739>,<-11.955932 | 42.966293>,<-58.631065 | -31.858398>,<139.561005 | 139.561005>,<-0.576298 | -0.576298>,<159.934875 | 159.934875>,<-0.453495 | -0.453495>,<-141.988678 | -141.988678>,<-155.250366 | -155.250366>,<-148.161453 | -148.161453>,<-148.777451 | -148.777451>
37,0.000000,124.519997,228.352280,16.771212,41.967361,39.003208,45.080849,39.528423,78.990799,78.378860,79.634842,78.172928,3.597379,0.475819,0.734394,0.325032,<-14.900579 | 31.304058>,<-55.243900 | -31.316309>,<-6.545214 | 38.356701>,<-55.328960 | -30.803207>,<110.385925 | 110.385925>,<-0.576298 | -0.576298>,<159.934875 | 159.934875>,<-0.453495 | -0.453495>,<-141.988678 | -141.988678>,<-155.250366 | -155.250366>,<-131.672424 | -131.672424>,<-148.777451 | -148.777451>
38,8.000000,118.180000,226.010483,21.879366,44.221664,38.569725,45.836983,38.794708,78.990799,78.806168,79.634842,79.522797,3.636638,1.179590,4.396420,0.325032,<-11.982262 | 35.414215>,<-54.814018 | -29.483540>,<-4.546579 | 39.613026>,<-55.667294 | -28.673723>,<119.613739 | 119.613739>,<-0.576298 | -0.576298>,<159.934875 | 159.934875>,<-0.453495 | -0.453495>,<-135.031403 | -135.031403>,<-155.250366 | -155.250366>,<-79.597794 | -79.597794>,<-148.777451 | -148.777451>
39,10.000000,117.739998,227.111252,7.839737,44.879044,36.945511,47.460239,39.380760,79.343102,78.806168,79.634842,79.522797,3.636638,1.179590,4.659197,0.325032,<-14.938856 | 34.138260>,<-53.627163 | -26.227793>,<-9.881667 | 38.504242>,<-54.345261 | -29.473686>,<119.613739 | 119.613739>,<-0.576298 | -0.576298>,<152.700531 | 152.700531>,<-0.453495 | -0.453495>,<-141.433395 | -141.433395>,<-158.195862 | -158.195862>,<-143.215027 | -143.215027>,<-145.275864 | -145.275864>
40,8.000000,118.400002,225.308182,23.220667,44.088192,35.448631,45.429325,36.721764,79.343102,76.936378,79.634842,77.449478,3.636638,1.179590,1.893810,0.325032,<-12.439978 | 34.584251>,<-53.104824 | -25.549578>,<-4.059896 | 33.866299>,<-50.115524 | -25.839710>,<134.011780 | 134.011780>,<-1.303120 | -1.303120>,<152.700531 | 152.700531>,<-0.453495 | -0.453495>,<-112.112610 | -112.112610>,<-127.003822 | -127.003822>,<-143.215027 | -143.215027>,<-137.282166 | -137.282166>
41,4.000000,120.180000,228.095779,13.109074,42.037647,36.154263,43.523018,34.713791,79.343102,76.936378,79.634842,74.745239,3.636638,1.259104,5.977919,0.325032,<-7.013973 | 30.551048>,<-51.128952 | -24.634565>,<0.283500 | 33.412174>,<-49.761337 | -25.989042>,<104.639832 | 104.639832>,<-1.303120 | -1.303120>,<127.676056 | 127.676056>,<-0.453495 | -0.453495>,<-75.819138 | -75.819138>,<-127.003822 | -127.003822>,<-143.215027 | -143.215027>,<-137.282166 | -137.282166>
42,2.000000,123.139999,230.067261,17.481647,40.499065,37.627163,40.554047,35.735813,79.343102,76.936378,79.634842,74.745239,0.774521,8.122681,1.812374,0.083660,<-3.606738 | 29.753681>,<-51.426464 | -24.936302>,<-2.938274 | 32.466808>,<-47.696224 | -26.965605>,<104.639832 | 104.639832>,<-1.303120 | -1.303120>,<127.676056 | 127.676056>,<-0.453495 | -0.453495>,<-75.819138 | -75.819138>,<-127.003822 | -127.003822>,<-143.215027 | -143.215027>,<-137.282166 | -137.282166>
43,4.000000,127.320000,231.891953,21.355349,47.456749,38.555687,42.791275,34.537979,79.343102,76.936378,79.634842,74.745239,1.500035,2.497047,1.812374,0.172874,<-9.360240 | 31.646772>,<-53.799461 | -28.666225>,<-2.308988 | 35.511478>,<-52.545170 | -27.867517>,<107.068817 | 107.068817>,<-1.303120 | -1.303120>,<149.649475 | 149.649475>,<-0.453495 | -0.453495>,<-147.020081 | -147.020081>,<-130.256409 | -130.256409>,<-143.215027 | -143.215027>,<-158.294510 | -158.294510>
44,2.000000,128.300003,227.167603,20.823133,49.837711,35.515247,42.726349,34.567596,79.343102,76.936378,79.634842,74.745239,3.100533,0.121063,0.184933,0.109090,<-6.173660 | 29.244465>,<-49.743378 | -26.700909>,<-2.680557 | 33.218990>,<-49.733746 | -27.902325>,<111.309235 | 111.309235>,<-1.303120 | -1.303120>,<127.676056 | 127.676056>,<-0.453495 | -0.453495>,<-79.415779 | -79.415779>,<-127.003822 | -127.003822>,<-124.228455 | -124.228455>,<-137.282166 | -137.282166>
45,0.000000,127.779999,224.051666,17.314404,49.684952,33.346359,42.706104,35.211239,79.343102,76.936378,79.634842,74.745239,4.651386,0.121063,1.812374,0.325032,<0.241493 | 31.182524>,<-50.722267 | -27.788441>,<-2.096983 | 33.511387>,<-51.482933 | -30.294340>,<159.295227 | 159.295227>,<-1.303120 | -1.303120>,<152.653564 | 152.653564>,<-0.453495 | -0.453495>,<-75.819138 | -75.819138>,<-135.485077 | -135.485077>,<-137.317169 | -137.317169>,<-141.717010 | -141.717010>
46,4.000000,124.080002,224.558304,30.304766,48.280228,36.854939,44.580521,37.404282,76.698090,76.936378,79.634842,76.859100,0.150625,0.121063,0.524586,0.257477,<3.659403 | 40.152924>,<-57.099468 | -30.280157>,<-8.660325 | 40.295841>,<-57.718903 | -34.068497>,<159.295227 | 159.295227>,<-1.303120 | -1.303120>,<152.653564 | 152.653564>,<-0.453495 | -0.453495>,<-77.885666 | -77.885666>,<-135.485077 | -135.485077>,<-137.317169 | -137.317169>,<-141.717010 | -141.717010>
47,0.000000,130.339996,224.813919,41.809235,48.670986,37.244484,42.958012,37.325371,76.698090,76.936378,79.634842,76.859100,0.150625,1.254377,1.485979,0.257477,<2.814994 | 36.849842>,<-54.977806 | -30.591160>,<-3.198425 | 40.792477>,<-57.282818 | -31.661751>,<159.295227 | 159.295227>,<-1.303120 | -1.303120>,<152.653564 | 152.653564>,<-0.453495 | -0.453495>,<-84.926590 | -84.926590>,<-138.680664 | -138.680664>,<-137.317169 | -137.317169>,<-141.717010 | -141.717010>
48,0.000000,121.360001,220.360535,12.756869,43.966522,35.137829,44.402061,37.690601,74.157928,74.025162,79.634842,76.859100,0.279869,0.765976,1.485979,0.257477,<2.219733 | 42.925610>,<-54.241871 | -27.910051>,<-7.991035 | 41.482819>,<-58.240429 | -33.231930>,<159.295227 | 159.295227>,<-1.303120 | -1.303120>,<152.653564 | 152.653564>,<-0.324852 | -0.324852>,<-84.926590 | -84.926590>,<-138.680664 | -138.680664>,<-137.317169 | -137.317169>,<-154.946136 | -154.946136>
