Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
10,10,50,0.200000,0.010000,Roulette,One point
,,,,,,
,,,,,,
Generation,Death percentage,Average fitness,Top fitness,Min fitness,Average hip1 velocity,Average knee1 velocity,Average hip2 velocity,Average knee2 velocity,Top hip1 velocity,Top knee1 velocity,Top hip2 velocity,Top knee2 velocity,Min hip1 velocity,Min knee1 velocity,Min hip2 velocity,Min knee2 velocity,Average hip1 rotation,Average knee1 rotation,Average hip2 rotation,Average knee2 rotation,Top hip1 rotation,Top knee1 rotation,Top hip2 rotation,Top knee2 rotation,Min hip1 rotation,Min knee1 rotation,Min hip2 rotation,Min knee2 rotation
41,0.000000,110.000000,110.375595,110.375595,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
42,0.000000,110.000000,110.506981,110.506981,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
43,0.000000,110.000000,110.133987,110.133987,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
44,0.000000,108.000000,108.626343,108.626343,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
45,0.000000,110.000000,110.916954,110.916954,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
46,0.000000,113.000000,113.540955,113.540955,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
47,0.000000,112.000000,112.120049,112.120049,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
48,0.000000,114.000000,114.121880,114.121880,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
49,0.000000,113.000000,113.576614,113.576614,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
Average: ,1.632653,0.000000,111.126755,81.599335
